game_session,installation_id,title,num_correct,num_incorrect,accuracy,accuracy_group
98823b83956d6274,00fa8681,Chest Sorter (Assessment),0,1,0.0,0
b4b25b2c4f2b6ada,00fa8681,Mushroom Sorter (Assessment),1,0,1.0,3
22e0b69bad7a475c,00fc65b6,Cauldron Filler (Assessment),1,1,0.5,2
2c8372907b2e7a29,00fc65b6,Chest Sorter (Assessment),1,0,1.0,3
2f2edeb4ee1a6b96,00fc65b6,Cauldron Filler (Assessment),1,0,1.0,3
3cb1a0a7c6e5c4cb,00fc65b6,Cart Balancer (Assessment),1,0,1.0,3
469b3ff25bf7824f,00fc65b6,Bird Measurer (Assessment),1,0,1.0,3
71190e29b29e7488,00fc65b6,Mushroom Sorter (Assessment),1,0,1.0,3
7e02851957b1e0df,00fc65b6,Chest Sorter (Assessment),1,10,0.09090909090909093,1
d4913074c3614940,00fc65b6,Cart Balancer (Assessment),1,0,1.0,3
ea2738fba4f2c341,00fc65b6,Cart Balancer (Assessment),1,2,0.3333333333333333,1
49f65396b901366f,010bc1d5,Bird Measurer (Assessment),0,2,0.0,0
77c0ffc58b95748a,010bc1d5,Mushroom Sorter (Assessment),1,0,1.0,3
f5fea737ce83acc6,01120f12,Bird Measurer (Assessment),0,2,0.0,0
65f9c6e01c6865d3,0153c957,Bird Measurer (Assessment),0,6,0.0,0
200bd213d65096c3,0155dd86,Cart Balancer (Assessment),1,0,1.0,3
5fd64cfdd2568004,0155dd86,Chest Sorter (Assessment),0,2,0.0,0
975a971cc0127015,0155dd86,Cart Balancer (Assessment),1,0,1.0,3
a7d5f59c4f1ffbe2,0155dd86,Chest Sorter (Assessment),0,3,0.0,0
dcf813428d8da7e7,0155dd86,Chest Sorter (Assessment),0,4,0.0,0
032880a4dca1fb6b,015776b4,Cart Balancer (Assessment),1,0,1.0,3
48e17f187b5cb6ec,015776b4,Chest Sorter (Assessment),0,7,0.0,0
ab3a4c946cc5d51d,015776b4,Mushroom Sorter (Assessment),0,1,0.0,0
d13556881baa2662,015776b4,Cart Balancer (Assessment),1,0,1.0,3
e08d94488267c4fb,015776b4,Chest Sorter (Assessment),0,3,0.0,0
0d641058b46d3689,01582211,Cart Balancer (Assessment),1,0,1.0,3
