event_id,game_session,timestamp,event_data,installation_id,event_count,event_code,game_time,title,type,world
1325467d,0848ef14a8dc6892,2019-09-06T17:55:10.911Z,"{""coordinates"":{""x"":871,""y"":637,""stage_width"":1015,""stage_height"":762},""event_count"":15,""game_time"":14622,""event_code"":4070}",0001e90f,15,4070,14622,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:11.178Z,"{""coordinates"":{""x"":890,""y"":645,""stage_width"":1015,""stage_height"":762},""event_count"":16,""game_time"":14889,""event_code"":4070}",0001e90f,16,4070,14889,Sandcastle Builder (Activity),Activity,MAGMAPEAK
b2dba42b,0848ef14a8dc6892,2019-09-06T17:55:11.246Z,"{""description"":""Drag the shovel to the molds to fill them up!"",""identifier"":""Dot_DragShovel"",""media_type"":""audio"",""total_duration"":2070,""event_count"":17,""game_time"":14956,""event_code"":3010}",0001e90f,17,3010,14956,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:11.592Z,"{""coordinates"":{""x"":866,""y"":650,""stage_width"":1015,""stage_height"":762},""event_count"":18,""game_time"":15306,""event_code"":4070}",0001e90f,18,4070,15306,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:11.829Z,"{""coordinates"":{""x"":876,""y"":670,""stage_width"":1015,""stage_height"":762},""event_count"":19,""game_time"":15539,""event_code"":4070}",0001e90f,19,4070,15539,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:12.381Z,"{""coordinates"":{""x"":564,""y"":576,""stage_width"":1015,""stage_height"":762},""event_count"":20,""game_time"":16089,""event_code"":4070}",0001e90f,20,4070,16089,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:12.963Z,"{""coordinates"":{""x"":573,""y"":570,""stage_width"":1015,""stage_height"":762},""event_count"":21,""game_time"":16672,""event_code"":4070}",0001e90f,21,4070,16672,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1bb5fbdb,0848ef14a8dc6892,2019-09-06T17:55:13.335Z,"{""description"":""Drag the shovel to the molds to fill them up!"",""identifier"":""Dot_DragShovel"",""media_type"":""audio"",""duration"":2100,""event_count"":22,""game_time"":17056,""event_code"":3110}",0001e90f,22,3110,17056,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:13.582Z,"{""coordinates"":{""x"":570,""y"":542,""stage_width"":1015,""stage_height"":762},""event_count"":23,""game_time"":17289,""event_code"":4070}",0001e90f,23,4070,17289,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:13.782Z,"{""coordinates"":{""x"":594,""y"":532,""stage_width"":1015,""stage_height"":762},""event_count"":24,""game_time"":17489,""event_code"":4070}",0001e90f,24,4070,17489,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:14.138Z,"{""coordinates"":{""x"":438,""y"":594,""stage_width"":1015,""stage_height"":762},""event_count"":25,""game_time"":17839,""event_code"":4070}",0001e90f,25,4070,17839,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:14.380Z,"{""coordinates"":{""x"":271,""y"":645,""stage_width"":1015,""stage_height"":762},""event_count"":26,""game_time"":18093,""event_code"":4070}",0001e90f,26,4070,18093,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:14.555Z,"{""coordinates"":{""x"":256,""y"":637,""stage_width"":1015,""stage_height"":762},""event_count"":27,""game_time"":18273,""event_code"":4070}",0001e90f,27,4070,18273,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:14.864Z,"{""coordinates"":{""x"":279,""y"":614,""stage_width"":1015,""stage_height"":762},""event_count"":28,""game_time"":18573,""event_code"":4070}",0001e90f,28,4070,18573,Sandcastle Builder (Activity),Activity,MAGMAPEAK
b2dba42b,0848ef14a8dc6892,2019-09-06T17:55:15.247Z,"{""description"":""When you're all done, tap this button."",""identifier"":""Dot_AllDoneTapThis"",""media_type"":""audio"",""total_duration"":2000,""event_count"":29,""game_time"":18956,""event_code"":3010}",0001e90f,29,3010,18956,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:16.065Z,"{""coordinates"":{""x"":548,""y"":575,""stage_width"":1015,""stage_height"":762},""event_count"":30,""game_time"":19773,""event_code"":4070}",0001e90f,30,4070,19773,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1bb5fbdb,0848ef14a8dc6892,2019-09-06T17:55:17.272Z,"{""description"":""When you're all done, tap this button."",""identifier"":""Dot_AllDoneTapThis"",""media_type"":""audio"",""duration"":2033,""event_count"":31,""game_time"":20989,""event_code"":3110}",0001e90f,31,3110,20989,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:17.664Z,"{""coordinates"":{""x"":554,""y"":560,""stage_width"":1015,""stage_height"":762},""event_count"":32,""game_time"":21373,""event_code"":4070}",0001e90f,32,4070,21373,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:18.733Z,"{""coordinates"":{""x"":567,""y"":560,""stage_width"":1015,""stage_height"":762},""event_count"":33,""game_time"":22440,""event_code"":4070}",0001e90f,33,4070,22440,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:19.615Z,"{""coordinates"":{""x"":580,""y"":586,""stage_width"":1015,""stage_height"":762},""event_count"":34,""game_time"":23323,""event_code"":4070}",0001e90f,34,4070,23323,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:19.832Z,"{""coordinates"":{""x"":604,""y"":580,""stage_width"":1015,""stage_height"":762},""event_count"":35,""game_time"":23540,""event_code"":4070}",0001e90f,35,4070,23540,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:20.029Z,"{""coordinates"":{""x"":579,""y"":614,""stage_width"":1015,""stage_height"":762},""event_count"":36,""game_time"":23740,""event_code"":4070}",0001e90f,36,4070,23740,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:20.263Z,"{""coordinates"":{""x"":586,""y"":624,""stage_width"":1015,""stage_height"":762},""event_count"":37,""game_time"":23973,""event_code"":4070}",0001e90f,37,4070,23973,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:20.713Z,"{""coordinates"":{""x"":617,""y"":606,""stage_width"":1015,""stage_height"":762},""event_count"":38,""game_time"":24423,""event_code"":4070}",0001e90f,38,4070,24423,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:21.062Z,"{""coordinates"":{""x"":608,""y"":663,""stage_width"":1015,""stage_height"":762},""event_count"":39,""game_time"":24773,""event_code"":4070}",0001e90f,39,4070,24773,Sandcastle Builder (Activity),Activity,MAGMAPEAK
b2dba42b,0848ef14a8dc6892,2019-09-06T17:55:21.326Z,"{""description"":""Drag the shovel to the molds to fill them up!"",""identifier"":""Dot_DragShovel"",""media_type"":""audio"",""total_duration"":2070,""event_count"":40,""game_time"":25040,""event_code"":3010}",0001e90f,40,3010,25040,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:21.477Z,"{""coordinates"":{""x"":666,""y"":663,""stage_width"":1015,""stage_height"":762},""event_count"":41,""game_time"":25190,""event_code"":4070}",0001e90f,41,4070,25190,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1bb5fbdb,0848ef14a8dc6892,2019-09-06T17:55:23.400Z,"{""description"":""Drag the shovel to the molds to fill them up!"",""identifier"":""Dot_DragShovel"",""media_type"":""audio"",""duration"":2083,""event_count"":42,""game_time"":27123,""event_code"":3110}",0001e90f,42,3110,27123,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:23.823Z,"{""coordinates"":{""x"":632,""y"":524,""stage_width"":1015,""stage_height"":762},""event_count"":43,""game_time"":27540,""event_code"":4070}",0001e90f,43,4070,27540,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:24.598Z,"{""coordinates"":{""x"":555,""y"":517,""stage_width"":1015,""stage_height"":762},""event_count"":44,""game_time"":28307,""event_code"":4070}",0001e90f,44,4070,28307,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:25.081Z,"{""coordinates"":{""x"":598,""y"":514,""stage_width"":1015,""stage_height"":762},""event_count"":45,""game_time"":28790,""event_code"":4070}",0001e90f,45,4070,28790,Sandcastle Builder (Activity),Activity,MAGMAPEAK
37937459,0848ef14a8dc6892,2019-09-06T17:55:25.964Z,"{""castles_placed"":[],""molds"":[0,0,0],""event_count"":46,""game_time"":29685,""event_code"":4090}",0001e90f,46,4090,29685,Sandcastle Builder (Activity),Activity,MAGMAPEAK
b2dba42b,0848ef14a8dc6892,2019-09-06T17:55:25.966Z,"{""description"":""Drag the shovel to the molds to fill them up!"",""identifier"":""Dot_DragShovel"",""media_type"":""audio"",""total_duration"":2070,""event_count"":47,""game_time"":29685,""event_code"":3010}",0001e90f,47,3010,29685,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1bb5fbdb,0848ef14a8dc6892,2019-09-06T17:55:28.033Z,"{""description"":""Drag the shovel to the molds to fill them up!"",""identifier"":""Dot_DragShovel"",""media_type"":""audio"",""duration"":2072,""event_count"":48,""game_time"":31757,""event_code"":3110}",0001e90f,48,3110,31757,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:28.917Z,"{""coordinates"":{""x"":176,""y"":252,""stage_width"":1015,""stage_height"":762},""event_count"":49,""game_time"":32624,""event_code"":4070}",0001e90f,49,4070,32624,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:29.359Z,"{""coordinates"":{""x"":146,""y"":217,""stage_width"":1015,""stage_height"":762},""event_count"":50,""game_time"":33074,""event_code"":4070}",0001e90f,50,4070,33074,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:29.719Z,"{""coordinates"":{""x"":157,""y"":188,""stage_width"":1015,""stage_height"":762},""event_count"":51,""game_time"":33424,""event_code"":4070}",0001e90f,51,4070,33424,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:29.976Z,"{""coordinates"":{""x"":196,""y"":168,""stage_width"":1015,""stage_height"":762},""event_count"":52,""game_time"":33691,""event_code"":4070}",0001e90f,52,4070,33691,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:30.003Z,"{""coordinates"":{""x"":588,""y"":379,""stage_width"":1015,""stage_height"":762},""event_count"":53,""game_time"":33724,""event_code"":4070}",0001e90f,53,4070,33724,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:30.411Z,"{""coordinates"":{""x"":800,""y"":243,""stage_width"":1015,""stage_height"":762},""event_count"":54,""game_time"":34124,""event_code"":4070}",0001e90f,54,4070,34124,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:30.615Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":55,""game_time"":34324,""event_code"":4030}",0001e90f,55,4030,34324,Sandcastle Builder (Activity),Activity,MAGMAPEAK
c58186bf,0848ef14a8dc6892,2019-09-06T17:55:30.671Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""duration"":66,""event_count"":56,""game_time"":34390,""event_code"":4035}",0001e90f,56,4035,34390,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:30.825Z,"{""coordinates"":{""x"":883,""y"":328,""stage_width"":1015,""stage_height"":762},""event_count"":57,""game_time"":34541,""event_code"":4070}",0001e90f,57,4070,34541,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:32.151Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":58,""game_time"":35857,""event_code"":4030}",0001e90f,58,4030,35857,Sandcastle Builder (Activity),Activity,MAGMAPEAK
c58186bf,0848ef14a8dc6892,2019-09-06T17:55:32.203Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""duration"":67,""event_count"":59,""game_time"":35924,""event_code"":4035}",0001e90f,59,4035,35924,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:32.355Z,"{""coordinates"":{""x"":854,""y"":228,""stage_width"":1015,""stage_height"":762},""event_count"":60,""game_time"":36075,""event_code"":4070}",0001e90f,60,4070,36075,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:32.556Z,"{""coordinates"":{""x"":866,""y"":226,""stage_width"":1015,""stage_height"":762},""event_count"":61,""game_time"":36274,""event_code"":4070}",0001e90f,61,4070,36274,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:32.732Z,"{""coordinates"":{""x"":874,""y"":227,""stage_width"":1015,""stage_height"":762},""event_count"":62,""game_time"":36441,""event_code"":4070}",0001e90f,62,4070,36441,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:32.892Z,"{""coordinates"":{""x"":871,""y"":208,""stage_width"":1015,""stage_height"":762},""event_count"":63,""game_time"":36608,""event_code"":4070}",0001e90f,63,4070,36608,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:33.098Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":64,""game_time"":36808,""event_code"":4030}",0001e90f,64,4030,36808,Sandcastle Builder (Activity),Activity,MAGMAPEAK
c58186bf,0848ef14a8dc6892,2019-09-06T17:55:33.157Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""duration"":67,""event_count"":65,""game_time"":36875,""event_code"":4035}",0001e90f,65,4035,36875,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:33.312Z,"{""coordinates"":{""x"":838,""y"":208,""stage_width"":1015,""stage_height"":762},""event_count"":66,""game_time"":37024,""event_code"":4070}",0001e90f,66,4070,37024,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:33.494Z,"{""coordinates"":{""x"":853,""y"":214,""stage_width"":1015,""stage_height"":762},""event_count"":67,""game_time"":37207,""event_code"":4070}",0001e90f,67,4070,37207,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:33.690Z,"{""coordinates"":{""x"":846,""y"":218,""stage_width"":1015,""stage_height"":762},""event_count"":68,""game_time"":37407,""event_code"":4070}",0001e90f,68,4070,37407,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:33.898Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":69,""game_time"":37607,""event_code"":4030}",0001e90f,69,4030,37607,Sandcastle Builder (Activity),Activity,MAGMAPEAK
c58186bf,0848ef14a8dc6892,2019-09-06T17:55:33.970Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""duration"":84,""event_count"":70,""game_time"":37691,""event_code"":4035}",0001e90f,70,4035,37691,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:34.121Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":71,""game_time"":37824,""event_code"":4030}",0001e90f,71,4030,37824,Sandcastle Builder (Activity),Activity,MAGMAPEAK
c58186bf,0848ef14a8dc6892,2019-09-06T17:55:34.170Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""duration"":67,""event_count"":72,""game_time"":37891,""event_code"":4035}",0001e90f,72,4035,37891,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:34.289Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":73,""game_time"":37999,""event_code"":4030}",0001e90f,73,4030,37999,Sandcastle Builder (Activity),Activity,MAGMAPEAK
c58186bf,0848ef14a8dc6892,2019-09-06T17:55:34.354Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""duration"":75,""event_count"":74,""game_time"":38074,""event_code"":4035}",0001e90f,74,4035,38074,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:34.500Z,"{""coordinates"":{""x"":827,""y"":189,""stage_width"":1015,""stage_height"":762},""event_count"":75,""game_time"":38207,""event_code"":4070}",0001e90f,75,4070,38207,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:34.717Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":76,""game_time"":38424,""event_code"":4030}",0001e90f,76,4030,38424,Sandcastle Builder (Activity),Activity,MAGMAPEAK
c58186bf,0848ef14a8dc6892,2019-09-06T17:55:34.769Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""duration"":67,""event_count"":77,""game_time"":38491,""event_code"":4035}",0001e90f,77,4035,38491,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:34.894Z,"{""coordinates"":{""x"":843,""y"":206,""stage_width"":1015,""stage_height"":762},""event_count"":78,""game_time"":38608,""event_code"":4070}",0001e90f,78,4070,38608,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:35.108Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":79,""game_time"":38824,""event_code"":4030}",0001e90f,79,4030,38824,Sandcastle Builder (Activity),Activity,MAGMAPEAK
c58186bf,0848ef14a8dc6892,2019-09-06T17:55:35.220Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""duration"":117,""event_count"":80,""game_time"":38941,""event_code"":4035}",0001e90f,80,4035,38941,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:36.007Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":81,""game_time"":39725,""event_code"":4030}",0001e90f,81,4030,39725,Sandcastle Builder (Activity),Activity,MAGMAPEAK
c58186bf,0848ef14a8dc6892,2019-09-06T17:55:36.105Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""duration"":99,""event_count"":82,""game_time"":39824,""event_code"":4035}",0001e90f,82,4035,39824,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:37.323Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":83,""game_time"":41041,""event_code"":4030}",0001e90f,83,4030,41041,Sandcastle Builder (Activity),Activity,MAGMAPEAK
c58186bf,0848ef14a8dc6892,2019-09-06T17:55:37.456Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""duration"":133,""event_count"":84,""game_time"":41174,""event_code"":4035}",0001e90f,84,4035,41174,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:38.733Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":85,""game_time"":42441,""event_code"":4030}",0001e90f,85,4030,42441,Sandcastle Builder (Activity),Activity,MAGMAPEAK
c58186bf,0848ef14a8dc6892,2019-09-06T17:55:38.838Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""duration"":117,""event_count"":86,""game_time"":42558,""event_code"":4035}",0001e90f,86,4035,42558,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:40.033Z,"{""coordinates"":{""x"":883,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":87,""game_time"":43741,""event_code"":4070}",0001e90f,87,4070,43741,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:40.707Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":88,""game_time"":44425,""event_code"":4030}",0001e90f,88,4030,44425,Sandcastle Builder (Activity),Activity,MAGMAPEAK
c58186bf,0848ef14a8dc6892,2019-09-06T17:55:40.822Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""duration"":116,""event_count"":89,""game_time"":44541,""event_code"":4035}",0001e90f,89,4035,44541,Sandcastle Builder (Activity),Activity,MAGMAPEAK
1325467d,0848ef14a8dc6892,2019-09-06T17:55:41.842Z,"{""coordinates"":{""x"":860,""y"":198,""stage_width"":1015,""stage_height"":762},""event_count"":90,""game_time"":45542,""event_code"":4070}",0001e90f,90,4070,45542,Sandcastle Builder (Activity),Activity,MAGMAPEAK
5e812b27,0848ef14a8dc6892,2019-09-06T17:55:42.434Z,"{""size"":0,""coordinates"":{""x"":782,""y"":207,""stage_width"":1015,""stage_height"":762},""event_count"":91,""game_time"":46141,""event_code"":4030}",0001e90f,91,4030,46141,Sandcastle Builder (Activity),Activity,MAGMAPEAK
