event_id,event_type,event_action
b7530680,round,start
f806dc10,round,start
1beb320a,round,start
1575e76c,round,start
7cf1bc53,round,start
7961e599,round,start
f32856e4,round,start
a592d54e,round,start
c2baf0bd,round,start
ec138c1c,round,start
a6d66e51,round,start
bbfe0445,rules,end
71fe8f75,rules,end
2dcad279,rules,end
bdf49a58,rules,end
a52b92d5,rules,end
1bb5fbdb,rules,end
84b0e0c8,rules,end
bd701df8,rules,end
b80e5e84,rules,end
b88f38da,rules,end
828e68f9,rules,end
3ccd3f02,rules,end
3babcb9b,rules,end
7f0836bf,rules,end
ab3136ba,rules,end
15f99afc,rules,end
0d1da71f,rules,end
df4940d3,rules,end
69fdac0a,rules,end
2a512369,rules,end
15eb4a7d,rules,end
a1bbe385,rules,end
f7e47413,rules,end
9e4c8c7b,rules,end
795e4a37,rules,start
a1e4395d,rules,start
1375ccb7,rules,start
923afab1,rules,start
ea321fb1,rules,start
3dcdda7f,rules,start
7ab78247,rules,start
b2dba42b,rules,start
49ed92e9,rules,start
beb0a7b9,rules,start
0a08139c,rules,start
56cd3b43,rules,start
33505eae,rules,start
67439901,rules,start
a29c5338,rules,start
6cf7d25c,rules,start
7ec0c298,rules,start
8.33E+06,rules,start
5154fc30,rules,start
0413e89d,rules,start
f28c589a,rules,start
8d7e386c,rules,start
f71c4741,rules,start
363d3849,rules,start
dcb55a27,tutorial,end
86ba578b,tutorial,end
4d6737eb,tutorial,end
6088b756,tutorial,end
d88ca108,tutorial,end
53c6e11a,tutorial,skip
9ed8f6da,tutorial,skip
d2659ab4,tutorial,skip
c6971acf,tutorial,start
29f54413,tutorial,start
7d5c30a2,tutorial,start
6372577,tutorial,start
